City,Type,Count
Hornsey,other Ghost,1
Hornsey,unHoly Ghost,2


City,Type,Count
Braedon,unHoly Ghost,1


City,Type,Count
Fool's March ,other Ghost,1
Fool's March ,unHoly Ghost,1
Fool's March ,Store,2


City,Type,Count
Romsey,unHoly Ghost,1
Romsey,Store,1
Romsey,store,1


City,Type,Count
Kirkwall,Store,1
Kirkwall,store,1


City,Type,Count
Travercraig,other Ghost,1
Travercraig,Holy Ghosty,1


City,Type,Count
Findochty,other Ghost,2
Findochty,Holy Ghosty,2


City,Type,Count
Goulcrest ,other Ghost,1
Goulcrest ,Holy Ghosty,1
Goulcrest ,Store,1
Goulcrest ,store,2


City,Type,Count
Cappadocia,Store,1
Cappadocia,store,1


City,Type,Count
Farnworth,Holy Ghosty,1


City,Type,Count
Falkirk,Holy Ghosty,2
Falkirk,unHoly Ghost,1
Falkirk,Store,2


City,Type,Count
Deathfall ,Holy Ghosty,1


City,Type,Count
Balerno,other Ghost,1
Balerno,Holy Ghosty,1
Balerno,unHoly Ghost,1
Balerno,Store,1


City,Type,Count
Jongvale ,Store,1
Jongvale ,store,2


City,Type,Count
Polperro,Holy Ghosty,2


City,Type,Count
Scrabster,other Ghost,1
Scrabster,Holy Ghosty,3
Scrabster,unHoly Ghost,1


City,Type,Count
Blencathra,store,1


City,Type,Count
Ballingsmallard,unHoly Ghost,1


City,Type,Count
Blencogo,unHoly Ghost,1
Blencogo,Store,2
Blencogo,store,1


City,Type,Count
Pantmawr,other Ghost,2


City,Type,Count
Halivaara,Store,2
Halivaara,store,1


City,Type,Count
Woodhaerst,unHoly Ghost,2
Woodhaerst,store,1


City,Type,Count
Threlkeld,other Ghost,2
Threlkeld,unHoly Ghost,2
Threlkeld,Holy Ghosty,1


City,Type,Count
Grimsby,Holy Ghosty,1
Grimsby,Store,1


City,Type,Count
Emall,unHoly Ghost,1


City,Type,Count
Ferncombe,unHoly Ghost,2
Ferncombe,Store,1


City,Type,Count
Colchester,unHoly Ghost,1
Colchester,Holy Ghosty,2


City,Type,Count
Carningsby,other Ghost,2
Carningsby,unHoly Ghost,1
Carningsby,store,1


City,Type,Count
Wimborne,Store,1
Wimborne,store,1


City,Type,Count
Leeside ,Holy Ghosty,1
Leeside ,store,1


City,Type,Count
Rochdale,Holy Ghosty,1
Rochdale,store,1


City,Type,Count
Caerdydd,Holy Ghosty,1
Caerdydd,Store,1
Caerdydd,store,2


City,Type,Count
Wavemeet ,unHoly Ghost,2
Wavemeet ,store,2


City,Type,Count
Kincardine,store,1


City,Type,Count
Penzance,other Ghost,1


City,Type,Count
Garthram,store,1


City,Type,Count
Ascot,other Ghost,1
Ascot,unHoly Ghost,1
Ascot,Store,1
Ascot,store,1


