City,Type,Count
Hornsey,other Ghost,43
Hornsey,unHoly Ghost,58
Hornsey,Holy Ghosty,46
Hornsey,Store,63
Hornsey,store,47


City,Type,Count
Braedon,other Ghost,107
Braedon,unHoly Ghost,101
Braedon,Holy Ghosty,107
Braedon,Store,113
Braedon,store,96


City,Type,Count
Kilmarnock,other Ghost,44
Kilmarnock,unHoly Ghost,48
Kilmarnock,Holy Ghosty,40
Kilmarnock,Store,40
Kilmarnock,store,49


City,Type,Count
Fool's March ,other Ghost,45
Fool's March ,unHoly Ghost,45
Fool's March ,Holy Ghosty,45
Fool's March ,Store,60
Fool's March ,store,46


City,Type,Count
Kirkwall,other Ghost,52
Kirkwall,Holy Ghosty,58
Kirkwall,unHoly Ghost,43
Kirkwall,Store,43
Kirkwall,store,50


City,Type,Count
Romsey,other Ghost,45
Romsey,unHoly Ghost,61
Romsey,Holy Ghosty,53
Romsey,Store,39
Romsey,store,44


City,Type,Count
Travercraig,other Ghost,41
Travercraig,Holy Ghosty,51
Travercraig,unHoly Ghost,40
Travercraig,Store,51
Travercraig,store,44


City,Type,Count
Findochty,other Ghost,68
Findochty,unHoly Ghost,52
Findochty,Holy Ghosty,49
Findochty,Store,57
Findochty,store,63


City,Type,Count
Goulcrest ,other Ghost,47
Goulcrest ,unHoly Ghost,56
Goulcrest ,Holy Ghosty,52
Goulcrest ,Store,60
Goulcrest ,store,50


City,Type,Count
Cappadocia,other Ghost,48
Cappadocia,Holy Ghosty,55
Cappadocia,unHoly Ghost,52
Cappadocia,Store,57
Cappadocia,store,50


City,Type,Count
Farnworth,other Ghost,50
Farnworth,unHoly Ghost,62
Farnworth,Holy Ghosty,56
Farnworth,Store,51
Farnworth,store,39


City,Type,Count
Falkirk,other Ghost,46
Falkirk,unHoly Ghost,58
Falkirk,Holy Ghosty,39
Falkirk,Store,41
Falkirk,store,46


City,Type,Count
Deathfall ,other Ghost,40
Deathfall ,Holy Ghosty,46
Deathfall ,unHoly Ghost,41
Deathfall ,Store,53
Deathfall ,store,61


City,Type,Count
Jongvale ,other Ghost,42
Jongvale ,unHoly Ghost,60
Jongvale ,Holy Ghosty,61
Jongvale ,Store,56
Jongvale ,store,56


City,Type,Count
Balerno,other Ghost,51
Balerno,Holy Ghosty,51
Balerno,unHoly Ghost,51
Balerno,Store,47
Balerno,store,50


City,Type,Count
Polperro,other Ghost,60
Polperro,unHoly Ghost,45
Polperro,Holy Ghosty,53
Polperro,Store,45
Polperro,store,45


City,Type,Count
Scrabster,other Ghost,45
Scrabster,Holy Ghosty,51
Scrabster,unHoly Ghost,41
Scrabster,Store,48
Scrabster,store,44


City,Type,Count
Blencathra,other Ghost,53
Blencathra,Holy Ghosty,47
Blencathra,unHoly Ghost,42
Blencathra,Store,50
Blencathra,store,41


City,Type,Count
Ballingsmallard,other Ghost,43
Ballingsmallard,unHoly Ghost,44
Ballingsmallard,Holy Ghosty,39
Ballingsmallard,Store,56
Ballingsmallard,store,55


City,Type,Count
Blencogo,other Ghost,47
Blencogo,unHoly Ghost,39
Blencogo,Holy Ghosty,44
Blencogo,Store,53
Blencogo,store,48


City,Type,Count
Pantmawr,other Ghost,33
Pantmawr,unHoly Ghost,49
Pantmawr,Holy Ghosty,46
Pantmawr,Store,41
Pantmawr,store,41


City,Type,Count
Halivaara,other Ghost,48
Halivaara,unHoly Ghost,55
Halivaara,Holy Ghosty,48
Halivaara,Store,54
Halivaara,store,56


City,Type,Count
Threlkeld,other Ghost,47
Threlkeld,Holy Ghosty,58
Threlkeld,unHoly Ghost,48
Threlkeld,Store,45
Threlkeld,store,61


City,Type,Count
Woodhaerst,other Ghost,42
Woodhaerst,Holy Ghosty,44
Woodhaerst,unHoly Ghost,52
Woodhaerst,Store,52
Woodhaerst,store,46


City,Type,Count
Emall,other Ghost,52
Emall,unHoly Ghost,33
Emall,Holy Ghosty,38
Emall,Store,49
Emall,store,40


City,Type,Count
Ferncombe,other Ghost,50
Ferncombe,unHoly Ghost,48
Ferncombe,Holy Ghosty,54
Ferncombe,Store,46
Ferncombe,store,51


City,Type,Count
Grimsby,other Ghost,71
Grimsby,Holy Ghosty,58
Grimsby,unHoly Ghost,62
Grimsby,Store,53
Grimsby,store,52


City,Type,Count
Colchester,other Ghost,59
Colchester,Holy Ghosty,62
Colchester,unHoly Ghost,45
Colchester,Store,58
Colchester,store,53


City,Type,Count
Carningsby,other Ghost,43
Carningsby,unHoly Ghost,50
Carningsby,Holy Ghosty,52
Carningsby,Store,59
Carningsby,store,43


City,Type,Count
Wimborne,other Ghost,49
Wimborne,Holy Ghosty,54
Wimborne,unHoly Ghost,58
Wimborne,Store,49
Wimborne,store,64


City,Type,Count
Leeside ,other Ghost,48
Leeside ,unHoly Ghost,47
Leeside ,Holy Ghosty,47
Leeside ,Store,55
Leeside ,store,63


City,Type,Count
Rochdale,other Ghost,51
Rochdale,Holy Ghosty,64
Rochdale,unHoly Ghost,50
Rochdale,Store,47
Rochdale,store,44


City,Type,Count
Bamborourgh,other Ghost,49
Bamborourgh,unHoly Ghost,47
Bamborourgh,Holy Ghosty,45
Bamborourgh,Store,46
Bamborourgh,store,49


City,Type,Count
Caerdydd,other Ghost,49
Caerdydd,Holy Ghosty,53
Caerdydd,unHoly Ghost,53
Caerdydd,Store,56
Caerdydd,store,60


City,Type,Count
Kincardine,other Ghost,50
Kincardine,unHoly Ghost,43
Kincardine,Holy Ghosty,58
Kincardine,Store,42
Kincardine,store,53


City,Type,Count
Wavemeet ,other Ghost,42
Wavemeet ,unHoly Ghost,44
Wavemeet ,Holy Ghosty,58
Wavemeet ,Store,51
Wavemeet ,store,47


City,Type,Count
Penzance,other Ghost,49
Penzance,unHoly Ghost,53
Penzance,Holy Ghosty,43
Penzance,Store,52
Penzance,store,47


City,Type,Count
Garthram,other Ghost,52
Garthram,unHoly Ghost,55
Garthram,Holy Ghosty,58
Garthram,Store,44
