City,Type,Count
caerdydd,holy ghosty,51
caerdydd,unholy ghost,45
caerdydd,store,118
caerdydd,other ghost,49


City,Type,Count
romsey,holy ghosty,58
romsey,unholy ghost,63
romsey,store,97
romsey,other ghost,54


City,Type,Count
fool's march ,holy ghosty,57
fool's march ,unholy ghost,43
fool's march ,store,93
fool's march ,other ghost,49


City,Type,Count
travercraig,holy ghosty,46
travercraig,unholy ghost,51
travercraig,store,108
travercraig,other ghost,53


City,Type,Count
deathfall ,holy ghosty,50
deathfall ,unholy ghost,66
deathfall ,store,106
deathfall ,other ghost,38


City,Type,Count
kincardine,holy ghosty,64
kincardine,unholy ghost,52
kincardine,store,125
kincardine,other ghost,45


City,Type,Count
blencathra,holy ghosty,42
blencathra,unholy ghost,60
blencathra,store,102
blencathra,other ghost,47


City,Type,Count
falkirk,holy ghosty,48
falkirk,unholy ghost,51
falkirk,store,94
falkirk,other ghost,45


City,Type,Count
kirkwall,holy ghosty,47
kirkwall,unholy ghost,50
kirkwall,store,108
kirkwall,other ghost,51


City,Type,Count
polperro,holy ghosty,52
polperro,unholy ghost,42
polperro,store,95
polperro,other ghost,37


City,Type,Count
ballingsmallard,holy ghosty,46
ballingsmallard,unholy ghost,48
ballingsmallard,store,80
ballingsmallard,other ghost,55


City,Type,Count
ferncombe,holy ghosty,44
ferncombe,unholy ghost,55
ferncombe,store,89
ferncombe,other ghost,49


City,Type,Count
halivaara,holy ghosty,55
halivaara,unholy ghost,45
halivaara,store,103
halivaara,other ghost,56


City,Type,Count
ascot,holy ghosty,61
ascot,unholy ghost,42
ascot,store,96
ascot,other ghost,52


City,Type,Count
cappadocia,holy ghosty,47
cappadocia,unholy ghost,48
cappadocia,store,91
cappadocia,other ghost,51


City,Type,Count
goulcrest ,holy ghosty,44
goulcrest ,unholy ghost,60
goulcrest ,store,88
goulcrest ,other ghost,48


City,Type,Count
garthram,holy ghosty,52
garthram,unholy ghost,50
garthram,store,106
garthram,other ghost,50


City,Type,Count
penzance,holy ghosty,47
penzance,unholy ghost,51
penzance,store,121
penzance,other ghost,49


City,Type,Count
farnworth,holy ghosty,53
farnworth,unholy ghost,35
farnworth,store,106
farnworth,other ghost,51


City,Type,Count
scrabster,holy ghosty,56
scrabster,unholy ghost,56
scrabster,store,103
scrabster,other ghost,59


City,Type,Count
hornsey,holy ghosty,31
hornsey,unholy ghost,49
hornsey,store,88
hornsey,other ghost,56


City,Type,Count
rochdale,holy ghosty,60
rochdale,unholy ghost,53
rochdale,store,104
rochdale,other ghost,51


City,Type,Count
wavemeet ,holy ghosty,62
wavemeet ,unholy ghost,64
wavemeet ,store,87
wavemeet ,other ghost,51


City,Type,Count
jongvale ,holy ghosty,48
jongvale ,unholy ghost,52
jongvale ,store,93
jongvale ,other ghost,47


City,Type,Count
woodhaerst,holy ghosty,60
woodhaerst,unholy ghost,44
woodhaerst,store,86
woodhaerst,other ghost,41


City,Type,Count
pantmawr,holy ghosty,49
pantmawr,unholy ghost,49
pantmawr,store,95
pantmawr,other ghost,52


City,Type,Count
blencogo,holy ghosty,62
blencogo,unholy ghost,48
blencogo,store,104
blencogo,other ghost,41


City,Type,Count
leeside ,holy ghosty,56
leeside ,unholy ghost,45
leeside ,store,89
leeside ,other ghost,49


City,Type,Count
balerno,holy ghosty,63
balerno,unholy ghost,46
balerno,store,99
balerno,other ghost,42


City,Type,Count
carningsby,holy ghosty,67
carningsby,unholy ghost,48
carningsby,store,91
carningsby,other ghost,48


City,Type,Count
wimborne,holy ghosty,56
wimborne,unholy ghost,47
wimborne,store,102
wimborne,other ghost,44


City,Type,Count
kilmarnock,holy ghosty,56
kilmarnock,unholy ghost,49
kilmarnock,store,102
kilmarnock,other ghost,57


City,Type,Count
bamborourgh,holy ghosty,44
bamborourgh,unholy ghost,51
bamborourgh,store,86
bamborourgh,other ghost,55


City,Type,Count
colchester,holy ghosty,47
colchester,unholy ghost,52
colchester,store,97
colchester,other ghost,54


City,Type,Count
threlkeld,holy ghosty,38
threlkeld,unholy ghost,42
threlkeld,store,106
threlkeld,other ghost,57


City,Type,Count
emall,holy ghosty,50
emall,unholy ghost,52
emall,store,95
emall,other ghost,45


City,Type,Count
findochty,holy ghosty,30
findochty,unholy ghost,55
findochty,store,101
findochty,other ghost,33


City,Type,Count
braedon,holy ghosty,103
braedon,unholy ghost,96
braedon,store,212
braedon,other ghost,100


City,Type,Count
grimsby,holy ghosty,60
grimsby,unholy ghost,47
grimsby,store,107
grimsby,other ghost,52


